Karakter,,,,,,,,,,,
PROFIL,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,
DS,Achiever,"is patient, controlled, and he/she enjoys digging for clues and facts.  He/She is easy going and amiable.  He/She plans his/her work carefully, but aggressively, asking questions and collecting data.  Then he/she works consistently in directed channels.   Being a considerate, modest individual, He/She relates well to most people.   He/She is a consistent, accommodating individual.  His/her reserved people skills dominate while his/her task-oriented traits are close behind.  He/She enjoys people, but is neither pushy nor gets in the way.   ","Dalam menghadapi situasi baru, ia cenderung bersifat moderat, ia akan menganalisis situasi dengan pendekatan yang bisa diterima lingkungan, ia menghindari sikap-sikap yang ekstrim karena ingin agar orang lain selalu memandangnya sebagai seorang yang ramah dan terbuka. Ia senang terlibat dalam situasi sosial namun tidak ingin menjadi pusat perhatian. Ia selalu mencari keseimbangan antara personal dengan pergaulan sosial.

Ia memiliki motivasi internal yang berakar pada sasaran pribadi yang mendasar. Komitmen pribadi ini mendahului komitmen pada sasaran kelompok yang lebih otomatis sifatnya. Selain itu Ia menampilkan  minat yang besar pada pekerjaannya serta dorongan untuk mencapai keberhasilan yang kuat dan berkesinambungan. Ia menganggap penting pekerjaannya dan karena itu pula seringkali  mau mengerjakannya untuk mendapatkan hasil yang benar. Akibatnya, ia lebih bertindak sebagai 'doer' daripada 'delegator'. Kalaupun sampai mendelegasi, selalu ada kecenderungan untuk menarik kembali tugas yang sudah didelegasikan tersebut bila Ia menganggap tugas tersebut tidak dijalankan secara memuaskan. ",,,,,,2,2,2,2
DSC,Achiever,"is patient, controlled, and he/she enjoys digging for clues and facts.  He/She is easy going and amiable.  He/She plans his/her work carefully, but aggressively, asking questions and collecting data.  Then he/she works consistently in directed channels.   Being a considerate, modest individual, He/She relates well to most people.   He/She is a consistent, accommodating individual.  His/her reserved people skills dominate while his/her task-oriented traits are close behind.  He/She enjoys people, but is neither pushy nor gets in the way.   ","Dalam menghadapi situasi baru, ia cenderung bersifat moderat, ia akan menganalisis situasi dengan pendekatan yang bisa diterima lingkungan, ia menghindari sikap-sikap yang ekstrim karena ingin agar orang lain selalu memandangnya sebagai seorang yang ramah dan terbuka. Ia senang terlibat dalam situasi sosial namun tidak ingin menjadi pusat perhatian. Ia selalu mencari keseimbangan antara personal dengan pergaulan sosial.

Ia memiliki motivasi internal yang berakar pada sasaran pribadi yang mendasar. Komitmen pribadi ini mendahului komitmen pada sasaran kelompok yang lebih otomatis sifatnya. Selain itu Ia menampilkan  minat yang besar pada pekerjaannya serta dorongan untuk mencapai keberhasilan yang kuat dan berkesinambungan. Ia menganggap penting pekerjaannya dan karena itu pula seringkali  mau mengerjakannya untuk mendapatkan hasil yang benar. Akibatnya, ia lebih bertindak sebagai 'doer' daripada 'delegator'. Kalaupun sampai mendelegasi, selalu ada kecenderungan untuk menarik kembali tugas yang sudah didelegasikan tersebut bila Ia menganggap tugas tersebut tidak dijalankan secara memuaskan. ",,,,,,2,2,2,2
DSI,Achiever,"is patient, controlled, and he/she enjoys digging for clues and facts.  He/She is easy going and amiable.  He/She plans his/her work carefully, but aggressively, asking questions and collecting data.  Then he/she works consistently in directed channels.   Being a considerate, modest individual, He/She relates well to most people.   He/She is a consistent, accommodating individual.  His/her reserved people skills dominate while his/her task-oriented traits are close behind.  He/She enjoys people, but is neither pushy nor gets in the way.   ","Dalam menghadapi situasi baru, ia cenderung bersifat moderat, ia akan menganalisis situasi dengan pendekatan yang bisa diterima lingkungan, ia menghindari sikap-sikap yang ekstrim karena ingin agar orang lain selalu memandangnya sebagai seorang yang ramah dan terbuka. Ia senang terlibat dalam situasi sosial namun tidak ingin menjadi pusat perhatian. Ia selalu mencari keseimbangan antara personal dengan pergaulan sosial.

Ia memiliki motivasi internal yang berakar pada sasaran pribadi yang mendasar. Komitmen pribadi ini mendahului komitmen pada sasaran kelompok yang lebih otomatis sifatnya. Selain itu Ia menampilkan  minat yang besar pada pekerjaannya serta dorongan untuk mencapai keberhasilan yang kuat dan berkesinambungan. Ia menganggap penting pekerjaannya dan karena itu pula seringkali  mau mengerjakannya untuk mendapatkan hasil yang benar. Akibatnya, ia lebih bertindak sebagai 'doer' daripada 'delegator'. Kalaupun sampai mendelegasi, selalu ada kecenderungan untuk menarik kembali tugas yang sudah didelegasikan tersebut bila Ia menganggap tugas tersebut tidak dijalankan secara memuaskan. ",,,,,,2,1,2,2
I,Promoter,"exhibit enthusiasm and optimism, He/She accomplish goals through the people. He/She love being around people, and therefor prefer not work alone. He/She became careless and disorganized, his/her communication skills are significantly above average. He/She desires social recognition and fear the loss of acceptance. When a difficult situation arises, he/she most likely to express every last feeling or wuthdraw to an emotionally safe position.","Ia menginginkan pengakuan sosial dan takut kehilangan penerimaan dari lingkungannya. Ketika situasi yang sulit muncul, ia cenderung menarik diri pada suatu posisi yang aman secara emosional atau menggunakan orang lain dalam pengambilan keputusan. Ia mudah sekali mempercayai orang dan senang menerima balasan dari kepercayaan itu. Penting bagi dirinya untuk mendengarkan orang disekitarnya dan bukan memikirkan apa yang akan mereka katakan.

Karena ia lebih tertarik pada partisipasi dan interaksi dengan orang lain dalam setiap aktivitas, menyebabkan dirinya kurang fokus pada penyelesaian tugas. Ia sangat menyenangi acara rapat, pertemuan, seminar atau konferensi. Ia terlalu percaya kepada kemampuan orang lain tanpa memperlajari terlebih dahulu fakta-fakta sebelumnya. Ia juga seringkali membuat keputusan yang menyenangkan semua pihak. Kekurangannya adalah manajemen waktu dan tugas, ia selalu harus diingatkan mengenai status perkembangan pekerjaan yang harus diselesaikannya.",,,,,,1,1,2,1.682569255
IC,Appraiser," focuses on the process.  Others see him as practical and logical.  He tends to be sensitive to criticism, but prefers to internalize his emotions rather than expose them.  He/She likes to clarify expectations before undertaking new projects, because he works hard to meet the standards that are set for him.

A  warm, outgoing person, He/ She enjoys having a high level of interaction with others.  He/She usually finds the ""silver lining"" in a difficult situation, and typically enjoys the thrill of trying new things.  He/She has a gift for influencing those around him and is viewed as an instinctive communicator.  Others find him/her  easy to approach and enjoy his easy, open rapport.","Ia sangat kompetitif dan memakai cara langsung untuk memperoleh hasil. Ia tidak memberi perintah, tetapi melibatkan orang lain ke dalam pekerjaan dengan memakai metode persuasif. Ia memancing kerjasama orang-orang disekeliling dengan memberi penjelasan tentang dasar dari aktifitas yang akan dilakukan. Ia piawai membantu orang lain memperoleh gambaran mengenai langkah-langkah yang perlu diambil dalam mewujudkan hasil yang diinginkan. Ia biasanya berbicara dengan mempergunakan rencana tindakan yang rinci yang sudah disiapkan dalam rangka memastikan kemajuan yang teratur. Karena begitu ingin meraih kemenangan, dirinya dapat menjadi tidak sabar bila standar yang ada tidak dijalankan. Ia adalah pemikir kritis dan mendalam serta mampu mengekspresikan kritik secara verbal.

Namun demikian, karena selalu ingin disukai oleh orang lain, ia akan mengalami kesulitan pada saat harus menghukum atau memberikan tindakan-tindakan disiplin kepada orang lain.",,,,,,2,2,2,2
ICD,Appraiser," focuses on the process.  Others see him as practical and logical.  He tends to be sensitive to criticism, but prefers to internalize his emotions rather than expose them.  He/She likes to clarify expectations before undertaking new projects, because he works hard to meet the standards that are set for him.

A  warm, outgoing person, He/ She enjoys having a high level of interaction with others.  He/She usually finds the ""silver lining"" in a difficult situation, and typically enjoys the thrill of trying new things.  He/She has a gift for influencing those around him and is viewed as an instinctive communicator.  Others find him/her  easy to approach and enjoy his easy, open rapport.","Ia sangat kompetitif dan memakai cara langsung untuk memperoleh hasil. Ia tidak memberi perintah, tetapi melibatkan orang lain ke dalam pekerjaan dengan memakai metode persuasif. Ia memancing kerjasama orang-orang disekeliling dengan memberi penjelasan tentang dasar dari aktifitas yang akan dilakukan. Ia piawai membantu orang lain memperoleh gambaran mengenai langkah-langkah yang perlu diambil dalam mewujudkan hasil yang diinginkan. Ia biasanya berbicara dengan mempergunakan rencana tindakan yang rinci yang sudah disiapkan dalam rangka memastikan kemajuan yang teratur. Karena begitu ingin meraih kemenangan, dirinya dapat menjadi tidak sabar bila standar yang ada tidak dijalankan. Ia adalah pemikir kritis dan mendalam serta mampu mengekspresikan kritik secara verbal.

Namun demikian, karena selalu ingin disukai oleh orang lain, ia akan mengalami kesulitan pada saat harus menghukum atau memberikan tindakan-tindakan disiplin kepada orang lain.",,,,,,2,2,2,2
ICS,Governor,"is a people-oriented individual who is verbally fluent and loyal.  Decisions are made after the gathering of facts and supportive data.  He/She tends to be sensitive and have high standards.    He/She can be restless; He/She needs to be more direct and less subjective.  He/She needs social recognition and personal attention; He/She gets attached to people easily and immediately.  He/She is friendly, enthusiastic, informal, talkative, and may worry too much about what other people think.  He/She tends to intellectualize on various subjects.  He/She wants to be accepted as a member of the team and likes to know exactly what is expected before He/She starts new projects.  ","Karena sensitif terhadap perasaan orang lain, ia merasa sulit untuk membuat keputusan yang berdampak kepada emosi orang lain, dalam hal ini biasanya ia akan mengajak orang lain untuk terlibat dalam proses pengambilan keputusan dan lebih menyenangi bekerja sebagai anggota tim. Ia tidak menyukai konfrontasi namun ia mampu menangani hal tersebut. Kelemahannya adalah ia mudah percaya pada orang lain.

Dalam bekerja, ia ingin diterima sebagai anggota tim dan selalu akan meminta kejelasan tentang harapan dan tujuan yang diinginkan sebelum memulai suatu tugas baru, karena ia akan bekerja keras untuk mencapai standar yang telah ditentukan kepadanya. Dalam situasi penuh tekanan, ia menjadi sangat teliti dan hati-hati, tidak lagi menunjukkan sikap diam atau bisa menjadi terlalu banyak bicara. Ia menjadi sangat memperhatikan kualitas kerja dan mengharapkan pengakuan dari rekan sekerjanya. Ia akan melakukan pendekatan logis dan emosi dalam membujuk orang lain. Ia akan selalu berusaha memberikan yang terbaik bagi setiap orang dan berpikir ""win-win"" dalam setiap kesempatan.",,,,,,1,1,2,1.670911518
ID,Persuader,"is an integrative leader who works with and through people.  He/She has an outgoing spirit, high interest in people and the ability to gain respect and admiration from varied types of individuals.  He/She does business in a friendly way, while striving to win others to his/her objectives and sell his/her point of view.  He/She can be inattentive to the ""little things"". He/She may act impulsively, may be overly enthusiastic and may oversell.  He/She may overestimate his/her ability to motivate people or change the behavior of others.  He/She seeks freedom from routine, and He/She wants authority as well as prestige.  He/She needs a variety of activities and works more efficiently when analytical data is provided by others.  He/She needs assignments requiring mobility and challenge. ","Dalam bekerja ia nampak aktif, orang melihatnya sebagi seorang yang ekspresif, 'nervous' dan 'restless'. Ia selalu terlibat dalam dalam berbagai aktivitas, seakan mengetahui berbagai hal. Sifatnya optimis dan mengetahui bagaimana memberikan hasil. Ia adalah seorang komunikator yang dapat diandalkan dan orientasinya yang besar kepada manusia. Hanya saja ia tidak selalu ingin mengambil peran sebagai pemimpin namun lebih menyukai peran sebagai anggota yang mendukung dan memberi bantuan. Ia selalu ingin berada diantara orang lain dan mereka melihat apa yang sedang dikerjakannya. Selain itu dirinya mencari pekerjaan untuk selalu terlihat baik. Bekerja bersama dengan orang lain, tugas yang menantang, pekerjaan yang bervariasi dan aktivitas yang menuntut mobilitas adalah  lingkungan kerja yang sangat disukainya. Namun ia seringkali terlalu optimis tentang hasil kerja dan potensi rekan sekerja. Ia juga cenderung terlalu percaya. Ia lebih menginginkan kebebasan dari aturan dan hal-hal rutin.",,,,,,2,1,2,2
IDC,Leader,"is a very task oriented person who enjoys people as well.  He/She may be very good at recruiting.  He/She is friendly but likes to see the tasks done right.  He/She may seem domineering and cool sometimes.  He/Shee loses sight of the people and is focusing on the task.   He/She really wants others involved in his/her projects, but he/she may forget about what others want.  He/She needs to listen more and think about what others around him/her may need, especially in times of trial.   He/She must have social approval and in turn |heshe trusts others highly.  Because of this, He/She sometimes overestimates people and their abilities.  He/She can appear inconsistent and flighty due to his/her inability to concentrate and focus for long periods.  He/She needs to learn to really listen to people around him/her instead of always thinking of what he/she is going to say.  He/She has strong logical abilities when he/she utilizes them. ","Ia terampil dalam berkomunikasi, Ia mampu membuat orang asing merasa santai dan nyaman. Ia mempengaruhi orang lain dengan keterampilan terhadap manusia yang kuat dan kemampuan bernalar dan logika, dengan menggunakan keterampilan verbal untuk menyemangati dan memperkuat orang lain. Ketika sedang berbicara dan memberikan pendapat dan informasi, ia seringkali memperlihatkan kemampuan dirinya untuk membangun harmoni dan kesatuan. Ia bukanlah orang yang diam, menunggu, namun terus menerus terlibat dengan berbagai aktivitas. Ia menginginkan adanya semangat yang datang bersama petualangan baru dan perjumpaan dengan orang-orang baru.

Selain itu dirinya mencari pekerjaan untuk selalu terlihat baik. Bekerja bersama dengan orang lain, tugas yang menantang, pekerjaan yang bervariasi dan aktivitas yang menuntut mobilitas adalah  lingkungan kerja yang sangat disukainya. Namun ia seringkali terlalu optimis tentang hasil kerja dan potensi rekan sekerja. Ia juga cenderung terlalu percaya. Ia lebih menginginkan kebebasan dari aturan dan hal-hal rutin.",,,,,,3,1,2.964060667,2.964060667
IDS,Reformer,"is sociable and friendly; He/She also likes to drive situations and be a leader. He/She accomplishes tasks through his/her social skill; He/She is caring and accepting of others.  He/She concentrates on the task at hand until it is completed and will ask others to help him/her if needed.  He/She knows his/her limitations and asks for assistance when needed.  He/She is likable and people ""want"" to help him/her.   He/She is happy to share the credit with the team; he/she is a team player but also a team leader.  He/She desires popularity and recognition.","Ia nampaknya mengalami kesulitan untuk mengorganisir waktu. Ia mudah percaya pada orang lain, dan terlalu percaya akan kemampuan orang lain. Ia sensitif terhadap perasaan orang lain dan akan melakukan pekerjaan yang menyenangkan semua orang. Kelebihannya adalah dalam keterampilan sosial, tulus dan empati yang mendalam terhadap orang lain. Hal inilah yang menyebabkan dirinya mampu memotivasi orang lain dengan sangat baik. Ia seorang yang penuh semangat serta mampu mengekspresikan pikiran dan pendapatnya kepada orang lain secara adekuat.

Ia senang berada di garis depan dari suatu proyek dan mampu mendelegasikan tugas dengan baik. Ia seorang yang optimis dan positif yang selalu memilih aspek positif dalam mengevaluasi orang atau keadaan. Ia perlu dibantu, dan diberi waktu untuk berpikir pada proses sebelum bertindak, ia juga nampaknya kurang dapat  menindaklanjuti tugas hingga selesai.",,,,,,1,1,2,1.610816463
IS,Agent,"exhibits warmth, symphaty and understanding in  his/her approach to people. He/She possess a casual kind of poise in most social situations. Many people will come to him/her because he/she are seen as good listener. He/She typically do not attempt to force his/her ideas on others, and in conflict are likely to yield or be overly flexible. If the conlict are serious, they may withdraw to avoid further conflict rather than work at resolution. ","Bila dihadapkan pada situasi konflik atau perselisihan, ia tidak berani berkonfrontasi dan menunjukkan sikap pertentangan dengan orang lain karena tidak ingin dinilai negatif oleh orang lain. Biasanya yang dilakukan dalam situasi ini adalah melibatkan orang lain dan meminta orang tersebut untuk turut serta dalam pengambilan keputusan. Seringkali ia mengambil manfaat pribadi dalam setiap tugas yang telah diselesaikan. Ia sangat baik dalam mengerjakan tugas-tugas untuk orang lain padahal tugas tersebut mungkin sebenarnya sulit untuk dikerjakan sendiri. Namun demikian, ia kurang dapat mementukan prioritas dalam bekerja karena waktunya lebih banyak untuk menjalin persahabatan. Ia juga sulit berhadapan dengan hal-hal yang detail, dan merasa tidak nyaman bila diasingkan oleh orang lain.

Sebagai seorang yang cukup matang, ia juga fleksibel dan bisa beradaptasi dengan cepat di berbagai lingkungan. Ia senang berbicara dengan orang lain, dan mampu menumbuhkan kepercayaan kepada orang lain. ",,,,,,2,1,2,2
ISC,Governor,"is a people-oriented individual who is verbally fluent and loyal.  Decisions are made after the gathering of facts and supportive data.  He/She tends to be sensitive and have high standards.    He/She can be restless; He/She needs to be more direct and less subjective.  He/She needs social recognition and personal attention; He/She gets attached to people easily and immediately.  He/She is friendly, enthusiastic, informal, talkative, and may worry too much about what other people think.  He/She tends to intellectualize on various subjects.  He/She wants to be accepted as a member of the team and likes to know exactly what is expected before He/She starts new projects.  ","Karena sensitif terhadap perasaan orang lain, ia merasa sulit untuk membuat keputusan yang berdampak kepada emosi orang lain, dalam hal ini biasanya ia akan mengajak orang lain untuk terlibat dalam proses pengambilan keputusan dan lebih menyenangi bekerja sebagai anggota tim. Ia tidak menyukai konfrontasi namun ia mampu menangani hal tersebut. Kelemahannya adalah ia mudah percaya pada orang lain.

Dalam bekerja, ia ingin diterima sebagai anggota tim dan selalu akan meminta kejelasan tentang harapan dan tujuan yang diinginkan sebelum memulai suatu tugas baru, karena ia akan bekerja keras untuk mencapai standar yang telah ditentukan kepadanya. Dalam situasi penuh tekanan, ia menjadi sangat teliti dan hati-hati, tidak lagi menunjukkan sikap diam atau bisa menjadi terlalu banyak bicara. Ia menjadi sangat memperhatikan kualitas kerja dan mengharapkan pengakuan dari rekan sekerjanya. Ia akan melakukan pendekatan logis dan emosi dalam membujuk orang lain. Ia akan selalu berusaha memberikan yang terbaik bagi setiap orang dan berpikir ""win-win"" dalam setiap kesempatan.",,,,,,1,1,2,1.837769722
ISD,Motivator,"exhibits an encouraging style when motivated by a goal.    He/She prefers to lead or be in charge, however he/she will also serve as a helper.  He/She may need recognition and appreciation to be happy and fulfilled in a supportive role.  He/She cares about the people around him/her and will consider others’ feelings in his/her decision-making process.  He/She exhibits excellent communication skills and deals well with people.  He/She will strive to accomplish tasks quickly and efficiently.  ","Bila dihadapkan pada situasi konflik atau perselisihan, ia tidak berani berkonfrontasi dan menunjukkan sikap pertentangan dengan orang lain karena tidak ingin dinilai negatif oleh orang lain. Biasanya yang dilakukan dalam situasi ini adalah melibatkan orang lain dan meminta orang tersebut untuk turut serta dalam pengambilan keputusan. Seringkali ia mengambil manfaat pribadi dalam setiap tugas yang telah diselesaikan. Ia sangat baik dalam mengerjakan tugas-tugas untuk orang lain padahal tugas tersebut mungkin sebenarnya sulit untuk dikerjakan sendiri. Namun demikian, ia kurang dapat mementukan prioritas dalam bekerja karena waktunya lebih banyak untuk menjalin persahabatan. Ia juga sulit berhadapan dengan hal-hal yang detail, dan merasa tidak nyaman bila diasingkan oleh orang lain.",,,,,,2,1,2,2
S,Specialist,"is a consistent individual who works to maintain an unchanging environment.  He/She works well with many of the other personality styles because of |hisher controlled and modest behavior. He/She is patient, loyal and helpful to friends.  Friendships are developed slowly and selectively.  He/She is not bored by routine and works best with guidelines and rules that are clearly spelled out.  He/She may require help and supervision in the initial stages of new projects.  He/She needs time to adjust to changes and are reluctant to let go of the ""old way of doing things"".  He/She will avoid confrontation at almost any cost and will internalize his/her feelings","Ia kurang terbuka terhadap informasi kecuali dari orang yang sangat dipercayainya. Rasa memilikinya sangat besar baik terhadap pekerjaan maupun terhadap orang lain, hal ini juga yang merupakan ketakutan terbesarnya adalah hilangnya rasa aman. Ia banyak disukai orang karena sifatnya yang penuh simpati dan mampu berempati. Ia senang membantu dan berdedikasi tinggi serta membutuhkan dukungan dari orang lain. Ia bisa diandalkan untuk mengerjakan sesuatu tugas dari awal hingga akhir karena komitmen yang tinggi.

Bila ditekan, ia akan menolak secara pasif. Ia lebih menggunakan logika daripada perasaan dalam membuat keputusan. Proses pengambilan keputusannya pun cukup lama. Begitu keputusan telah dibuat, ia akan terpaku pada keputusannya tersebut, bahkan cenderung menjadi 'keras kepala'. Ia sulit untuk berkata 'tidak' kepada orang lain karena ia selalu menginginkan kedamaian dan ketenangan tanpa konflik.",,,,,,2,1,2,2
SC,Investigator,"is loyal to the leaders he/she supports, and is an excellent person to have on the team.  He/She carefully and consistently works though situations.  He/She tends to show anxiety when put in a situation where he/she feels deserted to make decisions that will affect others.  He/She wants stability and exhibits stability in relationships; he/she needs a protected and secure environment. He/She likes people, but prefers a few close friends to many acquaintances. He/She likes small groups rather than crowds.  He/She is overly sensitive and doesn’t handle criticism well. He/She needs to develop confidence and be more independent.  He/She is very concerned about what people think of him/her and he/she avoids conflict.   ","Ia terlalu mengakomodir semua keinginan orang lain, ia tidak bisa berkata “tidak” karena tidak ingin menyakiti orang lain. Demikian pula dalam mengambil keputusan, ia akan memikirkan secara mendalam dan sangat berhati-hati dalam membuat keputusan dan menjadi semakin sulit memutuskan bila hal tersebut berdampak pada orang lain. Apabila ia dipaksa untuk cepat mengambil keputusan ia akan menjadi sangat cemas, bahkan tidak jarang menjadi seorang yang pasif serta menarik diri. Ia selalu menghindari konflik dan sangat peduli dengan apa yang orang lain pikirkan tentang dirinya agar selalu terlihat baik. Ia tidak mudah marah, perasaan yang ada dalam dirinya pun  tidak ditunjukkannya kepada orang lain. Apabila ia berada dalam kondisi stress, ia menjadi seorang yang menutup diri dan cenderung menjadi seorang yang keras kepala.",,,,,,2,1,2,2
SCD,Inquirer,"calm steady and perseverant character contributes to his/her success.  Tenacious after starting a project, He/She fights hard for his/her objectives.  Independent and questioning in approach, He/She is thorough and possesses follow-through.  He/She uses logic and analysis to make decisions, and is firm almost to the point of stubbornness after making these decisions.  He/She may be open to other people’s beliefs and opinions but has very strong personal convictions.  If these convictions are challenged, he/she will respond to the challenge and be convincing in his/her justification by utilizing facts.  He/She does not normally initiate conflict, but will rise to the occasion and not back down when he/she is brought into a conflict and has strong feelings about the outcome. ","Sabar, terkontrol dan senang menganalisa secara mendalam fakta atau gejala yang ada. Ia bekerja sesuai dengan arahan yang jelas, dan bisa diandalkan sebagai ""good finisher"", ia konsisten serta mampu mengakomodir berbagai hal. Ia kurang berani berinisiatif dan kurang cepat menyesuaikan diri dengan cepat dalam lingkungannya.

Persahabatan mendalam sangat penting bagi dirinya, namun ia selektif dalam memilih teman. Ia menginginkan lingkungan kerja yang teratur, penuh inspirasi, ada tantangan dan penghargaan yang tulus.

Proses pengambilan keputusan yang dilakukan penuh dengan rincian. Ia berani mengambil resiko bila sudah memiliki fakta dan data. Bila seseorang memuji keberhasilan yang telah dicapai, ia cenderung berfikir dan menganalisa maksud pujian tersebut. Kepercayaan dirinya meningkat bila mendapatkan pujian yang jujur yang disampaikan dari orang yang telah dipercayainya.",,,,,,2,2,2,2
SCI,Advocate,"are steady, sociable individuals who strive for positive relationships at work at at home. He/She can tend forward individualism and independence. Once He/She have made up his/her mind, it can be quite difficult to change his/her mind. He/She likes people to support him/her ideas. He/She may take oppoaing sides of a disagreement and leave feeling frustrated if things don't go right away. He/She needs to be accepted as part of a team. Desision can be difficult for him/her, unless their boundaries are very clearly defined.","Ia sensitif terhadap orang-orang yang berada di sekitarnya dan akan melakukan yang terbaik untuk menyenangkan orang tersebut dan menjaga suasana yang harmonis. Ia terampil berkomunikasi dan mampu mempengaruhi orang lain dengan pengetahuan yang dimiliki serta kemampuan menganalisa situasi dan orang lain.

Ia bisa menjadi pemimpin yang dominan apabila parameter tentang otoritasnya didefinisikan dengan jelas. Keputusan yang diambil selalu berusaha untuk menyenangkan semua pihak karena ia tidak menyukai konflik dan konfrontasi, padahal sebenarnya ia mampu menggunakan pendekatan logis. Situasi yang tidak menyenangkan bagi dirinya adalah pada saat ia harus mengevaluasi pekerjaan orang lain sehingga berdampak pada orang yang dievaluasi tersebut.",,,,,,1,1,2,1.342060402
SD,Achiever,"is patient, controlled, and he/she enjoys digging for clues and facts.  He/She is easy going and amiable.  He/She plans his/her work carefully, but aggressively, asking questions and collecting data.  Then he/she works consistently in directed channels.   Being a considerate, modest individual, He/She relates well to most people.   He/She is a consistent, accommodating individual.  His/her reserved people skills dominate while his/her task-oriented traits are close behind.  He/She enjoys people, but is neither pushy nor gets in the way.   ","Dalam menghadapi situasi baru, ia cenderung bersifat moderat, ia akan menganalisis situasi dengan pendekatan yang bisa diterima lingkungan, ia menghindari sikap-sikap yang ekstrim karena ingin agar orang lain selalu memandangnya sebagai seorang yang ramah dan terbuka. Ia senang terlibat dalam situasi sosial namun tidak ingin menjadi pusat perhatian. Ia selalu mencari keseimbangan antara personal dengan pergaulan sosial.

Ia memiliki motivasi internal yang berakar pada sasaran pribadi yang mendasar. Komitmen pribadi ini mendahului komitmen pada sasaran kelompok yang lebih otomatis sifatnya. Selain itu Ia menampilkan  minat yang besar pada pekerjaannya serta dorongan untuk mencapai keberhasilan yang kuat dan berkesinambungan. Ia menganggap penting pekerjaannya dan karena itu pula seringkali  mau mengerjakannya untuk mendapatkan hasil yang benar. Akibatnya, ia lebih bertindak sebagai 'doer' daripada 'delegator'. Kalaupun sampai mendelegasi, selalu ada kecenderungan untuk menarik kembali tugas yang sudah didelegasikan tersebut bila Ia menganggap tugas tersebut tidak dijalankan secara memuaskan. ",,,,,,2,2,2,2
SDC,Achiever,"is patient, controlled, and he/she enjoys digging for clues and facts.  He/She is easy going and amiable.  He/She plans his/her work carefully, but aggressively, asking questions and collecting data.  Then he/she works consistently in directed channels.   Being a considerate, modest individual, He/She relates well to most people.   He/She is a consistent, accommodating individual.  His/her reserved people skills dominate while his/her task-oriented traits are close behind.  He/She enjoys people, but is neither pushy nor gets in the way.   ","Dalam menghadapi situasi baru, ia cenderung bersifat moderat, ia akan menganalisis situasi dengan pendekatan yang bisa diterima lingkungan, ia menghindari sikap-sikap yang ekstrim karena ingin agar orang lain selalu memandangnya sebagai seorang yang ramah dan terbuka. Ia senang terlibat dalam situasi sosial namun tidak ingin menjadi pusat perhatian. Ia selalu mencari keseimbangan antara personal dengan pergaulan sosial.

Ia memiliki motivasi internal yang berakar pada sasaran pribadi yang mendasar. Komitmen pribadi ini mendahului komitmen pada sasaran kelompok yang lebih otomatis sifatnya. Selain itu Ia menampilkan  minat yang besar pada pekerjaannya serta dorongan untuk mencapai keberhasilan yang kuat dan berkesinambungan. Ia menganggap penting pekerjaannya dan karena itu pula seringkali  mau mengerjakannya untuk mendapatkan hasil yang benar. Akibatnya, ia lebih bertindak sebagai 'doer' daripada 'delegator'. Kalaupun sampai mendelegasi, selalu ada kecenderungan untuk menarik kembali tugas yang sudah didelegasikan tersebut bila Ia menganggap tugas tersebut tidak dijalankan secara memuaskan. ",,,,,,2,2,2,2
SDI,Agent,"exhibits warmth, symphaty and understanding in  his/her approach to people. He/She possess a casual kind of poise in most social situations. Many people will come to him/her because he/she are seen as good listener. He/She typically do not attempt to force his/her ideas on others, and in conflict are likely to yield or be overly flexible. If the conlict are serious, they may withdraw to avoid further conflict rather than work at resolution. ","Bila dihadapkan pada situasi konflik atau perselisihan, ia tidak berani berkonfrontasi dan menunjukkan sikap pertentangan dengan orang lain karena tidak ingin dinilai negatif oleh orang lain. Biasanya yang dilakukan dalam situasi ini adalah melibatkan orang lain dan meminta orang tersebut untuk turut serta dalam pengambilan keputusan. Seringkali ia mengambil manfaat pribadi dalam setiap tugas yang telah diselesaikan. Ia sangat baik dalam mengerjakan tugas-tugas untuk orang lain padahal tugas tersebut mungkin sebenarnya sulit untuk dikerjakan sendiri. Namun demikian, ia kurang dapat mementukan prioritas dalam bekerja karena waktunya lebih banyak untuk menjalin persahabatan. Ia juga sulit berhadapan dengan hal-hal yang detail, dan merasa tidak nyaman bila diasingkan oleh orang lain.

Sebagai seorang yang cukup matang, ia juga fleksibel dan bisa beradaptasi dengan cepat di berbagai lingkungan. Ia senang berbicara dengan orang lain, dan mampu menumbuhkan kepercayaan kepada orang lain. ",,,,,,2,2,2,2
