Karakter
PROFIL,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
C,Akurat,Analitis,Hati-hati,Penuh Kesadaran,Menemukan fakta,Ketepatan,Standar tinggi,Sistimatis,,,,8
,Developer," selalu akan mencari solusi-solusi baru dari tiap persoalan yang dihadapi. Ia memiliki internal motif yang kuat dan memiliki kecepatan kerja untuk mencapai tujuannya, serta mampu membuat keputusan dengan mudah walapun dalam suasana penuh tekanan. Ia adalah seorang yang kreatif dan percaya diri, ia cenderung menggunakan keseimbangan antara intuisi dan fakta ketika mengambil keputusan."," memiliki kekuatan ego yang besar, cenderung sangat individualistis dan selalu mencari pandangan-pandangan baru karenanya ia tidak menyukai berada dibawah atasan yang penuh kontrol, ia lebih menyukai atasan yang memberikan keleluasan untuk pencapaian tujuan yang diharapkan. Karena sangat bertumpu pada diri sendiri, cenderung lebih memilih untuk mencari solusi masalah sendiri. Ia bebas dari pengaruh tekanan kelompok. Dan karenanya tidak mengindahkan aturan-aturan untuk memunculkan dengan pemecahan masalah secara inovatif dan imajinatif. Walaupun cenderung berperilaku langsung dan tegas, dirinya juga mahir memanipulasi orang dan situasi untuk mencapai tujuan yang diinginkan. Akan tetapi apabila terpaksa harus berpartisipasi bersama orang lain yang membatasinya, ia cenderung untuk melawan.

Ia seorang yang ""self centered"" (terpusat ke diri sendiri), kesempatan untuk maju dan tantangan adalah hal yang penting bagi dirinya. Ketidakmampuan berempati membuatnya tampil sebagai manusia yang tidak perduli.",,,,,,2
,Director," menunjukkan kepercayaan diri yang seringkali ditafsirkan orang sebagai sikap yang arogan. Ia aktif mencari kesempatan untuk menguji coba dan mengembangkan kemampuan diri dalam pencapaian hasil yang memuaskan. Ia menyukai tugas yang sulit, yang unik  dalam situasi penuh persaingan atau kedudukan yang penting. Ia menghindari hal-hal detil yang memerlukan waktu lama, atau pekerjaan rutin. Ia memiliki kecepatan berfikir dan bertindak, tidak sabar dan cenderung mencari kesalahan dari orang lain. Ia cenderung keras kepala serta memberi kesan dingin dan datar kepada orang lain."," mampu mengendalikan tugas dan orang-orang sekitarnya untuk mengikuti kemauannya. Kemampuan kepemimpinannya bisa diandalkan. Ia mahir mempengaruhi orang lain dengan memberikan penjelasan-penjelasan logis dan argumentatif. Pola kepemimpinannya pun keras dan langsung  (forceful and direct), sehingga biasanya mengalami masalah dengan orang lain. Ia cepat berpikir dan cepat bertindak, tidak sabaran dan cenderung mencari kesalahan orang lain yang tidak setara dengan dirinya. Hal ini disebabkan karena dirinya menempatkan standar tinggi pada dirinya dan akan menjadi sangat terganggu bila standar yang telah ditentukannya tersebut tidak tercapai oleh orang lain.",,,,,,2
,Governor," individu yang optimis. Ia senang mengeksplorasi tempat atau sesuatu yang baru dan berbagai pengalaman  yang bervariasi. Ia nampak menampilkan karisma, penuh semangat, orang menganggapnya sebagai individu yang bisa memberikan inspirasi. Ia setia, sabar dan memperhatikan perasaan orang lain. Ia selalu mengharapkan lingkungan yang harmonis dan penuh kedamaian. Ia memerlukan data dan informasi yang adekuat dalam mengambil keputusan, dengan mempertimbangkan aspek positif dan negatifnya."," sensitif terhadap perasaan orang lain, ia merasa sulit untuk membuat keputusan yang berdampak kepada emosi orang lain, dalam hal ini biasanya ia akan mengajak orang lain untuk terlibat dalam proses pengambilan keputusan dan lebih menyenangi bekerja sebagai anggota tim. Ia tidak menyukai konfrontasi namun ia mampu menangani hal tersebut. Kelemahannya adalah ia mudah percaya pada orang lain.

Dalam bekerja, ia ingin diterima sebagai anggota tim dan selalu akan meminta kejelasan tentang harapan dan tujuan yang diinginkan sebelum memulai suatu tugas baru, karena ia akan bekerja keras untuk mencapai standar yang telah ditentukan kepadanya. Dalam situasi penuh tekanan, ia menjadi sangat teliti dan hati-hati, tidak lagi menunjukkan sikap diam atau bisa menjadi terlalu banyak bicara. Ia menjadi sangat memperhatikan kualitas kerja dan mengharapkan pengakuan dari rekan sekerjanya. Ia akan melakukan pendekatan logis dan emosi dalam membujuk orang lain. Ia akan selalu berusaha memberikan yang terbaik bagi setiap orang dan berpikir ""win-win"" dalam setiap kesempatan.",,,,,,2
,Inquirer," adalah pekerja dan pemikir yang sistematis dan tepat, ia cenderung untuk selalu mengikuti prosedur, baik dalam hidup pribadi maupun dalam bekerja. Ia sangat teliti dan berusaha keras mempertahankan keakuratan dalam bekerja, serta lebih memperhatikan hal detil dan ketepatan. Ia menginginkan kejelasan mengenai apa yang diharapkan, berapa lama waktu yang diperlukan dan bagaimana pekerjaan tersebut dievaluasi."," seorang yang sabar, terkontrol dan senang menganalisa secara mendalam fakta atau gejala yang ada. Ia bekerja sesuai dengan arahan yang jelas, dan bisa diandalkan sebagai ""good finisher"", ia konsisten serta mampu mengakomodir berbagai hal. Ia kurang berani berinisiatif dan kurang cepat menyesuaikan diri dengan cepat dalam lingkungannya.

Proses pengambilan keputusan yang dilakukan penuh dengan rincian. Ia berani mengambil resiko bila sudah memiliki fakta dan data. Bila seseorang memuji keberhasilan yang telah dicapai, ia cenderung berfikir dan menganalisa maksud pujian tersebut. Kepercayaan dirinya meningkat bila mendapatkan pujian yang jujur yang disampaikan dari orang yang telah dipercayainya.","adalah seorang yang sabar dan baik hati. Ia selalu bersedia membantu orang lain dan selalu membangun hubungan erat dan dekat dengan beberapa rekan sejawat. Ia dikenal sebagai seorang yang bisa dijadikan tempat untuk berbagi disaat seseorang sedang mengalami masalah karena dirinya mampu berempati secara mendalam sehingga membuat orang lain merasa nyaman bila berada bersamanya. Sebagai seorang yang ramah dan penuh perhatian ia selalu menjaga hubungan yang selalu harmonis, penuh ketenangan dan keteraturan.

Ia sangat efektif bekerja untuk tugas-tugas yang telah direncanakan dengan baik, adanya prosedur yang jelas serta bimbingan dari atasan. Namun menjadi kurang optimal dalam bekerja bila menghadapi situasi kerja yang penuh dengan tekanan dan tidak beraturan. Ia juga kurang dapat beradaptasi terhadap perubahan, karena baginya yang diinginkan adalah kestabilan dan ketenangan kerja.

Ia terlalu mengakomodir semua keinginan orang lain, ia tidak bisa berkata “tidak” karena tidak ingin menyakiti orang lain. Demikian pula dalam mengambil keputusan, ia akan memikirkan secara mendalam dan sangat berhati-hati dalam membuat keputusan dan menjadi semakin sulit memutuskan bila hal tersebut berdampak pada orang lain. Apabila ia dipaksa untuk cepat mengambil keputusan ia akan menjadi sangat cemas, bahkan tidak jarang menjadi seorang yang pasif serta menarik diri. Ia tidak mudah marah, perasaan yang ada dalam dirinya pun  tidak ditunjukkannya kepada orang lain.
",,,,,3
,Inspirational," memiliki karakter yang dominan dan mampu menunjukkan kekuatan ego yang ditunjukkan secara verbal. Kepercayaan diri yang ditampilkannya seringkali ditafsirkan orang lain sebagai aroganisasi diri. Ia selalu melihat ke depan, dan selalu kaya akan gagasan-gagasan. Berdasarkan gagasan tersebutlah ia tergerak dan selalu memiliki ambisi-ambisi yang ingin dicapai. Ia menyukai tugas-tugas sulit, unik, dan situasi penuh persaingan."," mahir mempengaruhi orang lain dengan memberikan penjelasan-penjelasan logis dan argumentatif. Pola kepemimpinannya pun keras dan langsung  (forceful and direct), sehingga biasanya mengalami masalah dengan orang lain. Ia cepat berpikir dan cepat bertindak, tidak sabaran dan cenderung mencari kesalahan orang lain yang tidak setara dengan dirinya. Hal ini disebabkan karena dirinya menempatkan standar tinggi pada dirinya dan akan menjadi sangat terganggu bila standar yang telah ditentukannya tersebut tidak tercapai oleh orang lain.

Dalam bekerja ia biasanya akan menghindari faktor-faktor yang menghambat secara langsung seperti ketergantungan pada atasan, hal-hal detail yang memakan waktu, dan kerja rutin. Ia bisa menjadi seorang yang tempramental, terutama ketika ia merasa ada orang lain memanfaatkannya. Ia tidak sabaran dan menginginkan persaingan menang atau kalah.",,,,,,2
,Investigator, adalah seorang yang sabar dan baik hati. Ia selalu bersedia membantu orang lain dan selalu membangun hubungan erat dengan beberapa rekan sejawat. Ia dikenal sebagai seorang yang bisa dijadikan tempat untuk berbagi disaat seseorang sedang mengalami masalah karena mampu berempati secara mendalam sehingga membuat orang lain merasa nyaman bila berada bersamanya. Ia senang terlibat dengan aktivitas-aktivitas sosial namun biasanya dirinya kurang suka menjadi pusat perhatian karena lebih menyukai sebagai anggota tim daripada sebagai pemimpin tim.," terlalu mengakomodir semua keinginan orang lain, ia tidak bisa berkata “tidak” karena tidak ingin menyakiti orang lain. Demikian pula dalam mengambil keputusan, ia akan memikirkan secara mendalam dan sangat berhati-hati dalam membuat keputusan dan menjadi semakin sulit memutuskan bila hal tersebut berdampak pada orang lain. Apabila ia dipaksa untuk cepat mengambil keputusan ia akan menjadi sangat cemas, bahkan tidak jarang menjadi seorang yang pasif serta menarik diri. Ia selalu menghindari konflik dan sangat peduli dengan apa yang orang lain pikirkan tentang dirinya agar selalu terlihat baik. Ia tidak mudah marah, perasaan yang ada dalam dirinya pun  tidak ditunjukkannya kepada orang lain. Apabila ia berada dalam kondisi stress, ia menjadi seorang yang menutup diri dan cenderung menjadi seorang yang keras kepala.","selalu mengakomodir keinginan orang lain. Ia loyal dan selalu ingin menunjukkan dedikasi yang tinggi terhadap pekerjaan dan dalam relasi sosialnya. Dalam bekerja Ia sangat menginginkan kenyamanan dan keamanan, biasanya ia akan menghindari konflik dan kurang menyukai perubahan yang mendadak.

Ia akan mengerjakan sesuai dengan petunjuk dan aturan yang teah ditetapkan, ia akan menjadi seorang yang sensitif apabila pekerjaannya dikritik terutama bila ia kurang lengkap dalam memberikan data-data yang diperlukan.

Ia juga tidak ingin menjadi pusat perhatian, ia cenderung selektif dalam berteman dan memerlukan waktu untuk “terbuka” dengan orang yang baru dikenal, meski demikian sikap curiga dan prasangka negatif ini akan berubah menjadi rasa percaya yang tinggi apabila orang tersebut menunjukkan kemampuan dan pengalamannya.

Sebagai seorang yang ramah dan baik hati, ia berempati terhadap orang-orang yang berada di sekitarnya, ia akan mempertimbangkan berbagai hal sebelum membuat keputusan, memperhitungkan sisi positif dan sisi negatifnya, bagaimana dampak keputusan tersebut terhadap orang lain dan sebagainya. Hal inilah yang menyebabkan dirinya menjadi lambat dalam membuat keputusan.

Pendengar yang baik, bertanggung jawab dan “good finisher” adalah karakteristik dasar yang dimiliki oleh dirinya, dari sisi emosi, ia cenderung memendam perasaannya, kurang ekspresif dalam menunjukkan rasa marahnya.
","adalah seorang yang sabar dan baik hati. Ia selalu bersedia membantu orang lain dan selalu membangun hubungan erat dan dekat dengan beberapa rekan sejawat. Ia dikenal sebagai seorang yang bisa dijadikan tempat untuk berbagi disaat seseorang sedang mengalami masalah karena Ia mampu berempati secara mendalam sehingga membuat orang lain merasa nyaman bila berada bersamanya. Sebagai seorang yang ramah dan penuh perhatian ia selalu menjaga hubungan yang selalu harmonis, penuh ketenangan dan keteraturan.
Ia senang berada dalam situasi sosial serta menghargai persahabatan. Ia senang terlibat dengan aktivitas-aktivitas sosial namun biasanya dirinya kurang suka menjadi pusat perhatian karena lebih menyukai sebagai anggota tim daripada sebagai pemimpin tim

Ia sangat efektif bekerja untuk tugas-tugas yang telah direncanakan dengan baik, adanya prosedur yang jelas serta bimbingan dari atasan. Namun, ia menjadi kurang optimal dalam bekerja bila menghadapi situasi kerja yang penuh dengan tekanan dan tidak beraturan. Ia juga kurang dapat beradaptasi terhadap perubahan, karena baginya yang diinginkan adalah kestabilan dan ketenangan kerja.

Dalam mengambil keputusan, ia akan memikirkan secara mendalam dan sangat berhati-hati dalam membuat keputusan dan menjadi semakin sulit memutuskan bila hal tersebut berdampak pada orang lain. Apabila ia dipaksa untuk cepat mengambil keputusan ia akan menjadi sangat cemas, bahkan tidak jarang menjadi seorang yang pasif serta menarik diri. Ia selalu menghindari konflik dan sangat peduli dengan apa yang orang lain pikirkan tentang dirinya agar selalu terlihat baik. Ia tidak mudah marah, perasaan yang ada dalam dirinya pun  tidak ditunjukkannya kepada orang lain.
","seorang yang ramah dan penuh perhatian, ia selalu menjaga hubungan yang selalu harmonis, menyenangi ketenangan dan keteraturan dalam bekerja. Iaadalah seorang “good finisher”, ia akan menyelesaikan pekerjaan yang diberikan kepadanya hingga selesai. Sabar dan baik hati. Ia selalu bersedia membantu orang lain dan selalu membangun hubungan erat dan dekat dengan beberapa rekan sejawat. Ia dikenal sebagai seorang yang bisa dijadikan tempat untuk berbagi disaat seseorang sedang mengalami masalah karena ia mampu berempati sehingga membuat orang lain merasa nyaman bila berada bersamanya.

Namun demikian, ia akam menjadi kurang optimal dalam bekerja bila menghadapi situasi kerja yang penuh dengan tekanan dan tidak beraturan. Ia juga kurang dapat beradaptasi dengan cepat terhadap perubahan, karena baginya yang diinginkan adalah kestabilan dan ketenangan kerja. Ia juga kurang berani melakukan konfrontasi secara langsung apabila gagasan atau pendapatnya tidak sesuai dengan orang lain. Ia sangat berhati-hati pada saat harus mengambil keputusan, ia selalu mempertimbangkan secara matang apakah keputusannya tersebut akan berdampak kepada orang lain, bila hal itu terjadi, dirinya menjadi cemas. Ia  sensitif dan kurang berani berhadapan dengan situasi konflik, untuk itulah dirinya memerlukan pengembangan dalam hal peningkatan kepercayaan diri dan pekerjaan yang independent, tidak tergantung pada orang lain.
",,,5
,Leader," memperlihatkan suatu orientasi tugas yang tinggi dan juga menyukai orang. Secara khusus ia sangat pandai merekrut orang untuk tim atau organisasi. Ia menunjukkan sikap bersahabat, suka melibatkan orang lain, juga suka melihat tugas-tugasnya dikerjakan dengan benar. Karena keinginannya agar dapat melakukan segala hal dengan benar, terkadang mereka tampil mendominir dan agresif saat terjadi tekanan dalam sebuah situasi. Sangatlah menguntungkan bagi semua jika ia lebih terfokus pada mendengarkan dan mempertimbangkan kebutuhan orang lain, terutama disaat yang sulit."," terampil dalam berkomunikasi, Ia mampu membuat orang asing merasa santai dan nyaman. Ia mempengaruhi orang lain dengan keterampilan terhadap manusia yang kuat dan kemampuan bernalar dan logika, dengan menggunakan keterampilan verbal untuk menyemangati dan memperkuat orang lain. Ketika sedang berbicara dan memberikan pendapat dan informasi, ia seringkali memperlihatkan kemampuan dirinya untuk membangun harmoni dan kesatuan. Ia bukanlah orang yang diam, menunggu, namun terus menerus terlibat dengan berbagai aktivitas. Ia menginginkan adanya semangat yang datang bersama petualangan baru dan perjumpaan dengan orang-orang baru.

Selain itu dirinya mencari pekerjaan untuk selalu terlihat baik. Bekerja bersama dengan orang lain, tugas yang menantang, pekerjaan yang bervariasi dan aktivitas yang menuntut mobilitas adalah  lingkungan kerja yang sangat disukainya. Namun ia seringkali terlalu optimis tentang hasil kerja dan potensi rekan sekerja. Ia juga cenderung terlalu percaya. Ia lebih menginginkan kebebasan dari aturan dan hal-hal rutin.","senang bereksplorasi dan menemukan hal baru dalam bekerja yang menjadikannya semangat karena mendapatkan pengalaman yang bervariasi, dengan sifatnya yang penuh karisma dan kemampuan komunikasinya yang baik, ia biasanya mendapatkan simpati dari orang lain. Namun demikian ia cenderung sensitif terhadap kritik dan menanggap kritik tersebut ditujukan kepada pribadinya, bukan terhadap pekerjaannya.

Ia mampu memimpin kelompok dan mempengaruhi kelompoknya tersebut, ia akan bertanggung jawab atas tugas yang diembannya secara penuh, ia juga dapat mengambil keputusan dengan cepat karena menunjukkan kepercayaan diri yang tinggi.

Dalam berinteraksi dengan orang yang baru ditemuinya, ia dapat beradaptasi dengan cepat dan mampu menunjukkan reaksi-reaksi positif seperti yang diharapkan orang tersebut. Ia jarang menunjukkan sikap kontradiksi atau bertentangan dengan orang lain karena harapannya dalam bekerja adalah selalu ingin berada dalam situasi kerja yang menyenangkan dan kondusif. Ia juga ingin agar orang lain “menghargai” dan mengakui hasil karyanya.

Namun demikian, ia kurang menyukai tugas-tugas rutin dan pekerjaan yang bersifat administratif, kualitas kerjanya akan menurun karena ia lebih menyukai pekerjaan yang selalu berubah dengan cepat setiap saat. Ia lebih memikirkan popularitas daripada hasil yang dicapainya, bahkan cenderung berlebihan dalam mengekspresikan perasaannya.
",,,,,3
,Mediator," berorientasi pada manusia dan mampu menggabungkan ketepatan dan loyalitas. Perasaannya sensitif dan memiliki standar kerja yang tinggi. Ia senang stabilitas kerja dan bekerja berdasarkan tujuan yang telah ditentukan. Kebutuhan terbesarnya adalah penerimaan sosial dan perhatian dari orang lain kepada dirinya. Ia antusias, menyenangkan dan bersikap informal dan cenderung merasa khawatir atas apa yang dipikirkan orang lain tentang dirinya. Ia menginginkan situasi yang harmonis dan menolak perilaku yang cenderung agresif."," dalam bekerja ingin diterima sebagai anggota tim dan selalu akan meminta kejelasan tentang harapan dan tujuan yang diinginkan sebelum memulai suatu tugas baru, karena ia akan bekerja keras untuk mencapai standar yang telah ditentukan kepadanya. Dalam situasi penuh tekanan, ia menjadi sangat teliti dan hati-hati, tidak lagi menunjukkan sikap diam atau bisa menjadi terlalu banyak bicara. Ia menjadi sangat memperhatikan kualitas kerja dan mengharapkan pengakuan dari rekan sekerjanya. Ia akan melakukan pendekatan logis dan emosi dalam membujuk orang lain.

Ia bisa menjadi pemimpin yang dominan apabila parameter tentang otoritasnya didefinisikan dengan jelas. Keputusan yang diambil selalu berusaha untuk menyenangkan semua pihak karena ia tidak menyukai konflik dan konfrontasi, padahal sebenarnya ia mampu menggunakan pendekatan logis. Situasi yang tidak menyenangkan bagi dirinya adalah pada saat ia harus mengevaluasi pekerjaan orang lain sehingga berdampak pada orang yang dievaluasi tersebut.",,,,,,2
,Motivator," memperlihatkan suatu gaya menyemangati orang lain saat dirinya termotivasi oleh suatu tujuan. Ia lebih suka memimpin atau bertanggung jawab atas sesuatu, tetapi mereka juga dapat menjadi bawahan yang mengikuti perintah atasannya. Ia memerlukan pengakuan dan penghargaan agar dirinya merasa nyaman dalam berperan dalam lingkungan sosialnya. Ia cenderung memperhatikan orang-orang yang berada disekitarnya dan mempertimbangkan perasaan orang lain dalam proses pembuatan keputusan.  Ia memiliki kemampuan untuk mendengarkan secara kreatif dan berkomunikasi secara efektif."," lebih suka memimpin atau diberi tanggung jawab, meskipun demikian ia juga akan selalu membantu orang lain dalam bekerja. Kebutuhan terbesarnya adalah apresiasi dan pengakuan dari orang-orang di sekitarnya, ia sangat memperhatikan perasaan orang lain ketika harus mengambil keputusan.

Bila dihadapkan pada situasi konflik atau perselisihan, ia tidak berani berkonfrontasi dan menunjukkan sikap pertentangan dengan orang lain karena tidak ingin dinilai negatif oleh orang lain. Biasanya yang dilakukan dalam situasi ini adalah melibatkan orang lain dan meminta orang tersebut untuk turut serta dalam pengambilan keputusan. Seringkali ia mengambil manfaat pribadi dalam setiap tugas yang telah diselesaikan. Ia sangat baik dalam mengerjakan tugas-tugas untuk orang lain padahal tugas tersebut mungkin sebenarnya sulit untuk dikerjakan sendiri. Namun demikian, ia kurang dapat mementukan prioritas dalam bekerja karena waktunya lebih banyak untuk menjalin persahabatan. Ia juga sulit berhadapan dengan hal-hal yang detail, dan merasa tidak nyaman bila diasingkan oleh orang lain.",,,,,,2
,Objective thinker," adalah seorang pekerja yang sangat taat pada peraturan dan prosedur. Ia akan menjalankan tugas dan tanggung jawabnya berdasarkan uraian tugas yang jelas. Ia juga mampu merencanakan, mengendalikan diri, penuh perhitungan dan sangat menuntut akurasi dalam bekerja. Dalam mengerjakan proyek baru, ia akan meminta penjelasan tentang standar yang harus dipenuhi, selanjutnya standar itulah yang menjadi acuan pekerjaannya."," adalah seorang yang kritis, analitis, sistimatis, hati-hati dan memiliki standar kualitas yang tinggi. Dalam menghadapi persoalan, ia akan menganalisisnya secara mendalam, mengumpulkan bukti-bukti pendukung serta mampu menjabarkannya secara rinci. Hanya saja, perasaannya sensitif dan mudah tersinggung. Ia menganggap kritik atau perbedaan pendapat yang disampaikan kepadanya adalah suatu kelemahan diri karena ia menganggap bahwa dirinya selalu memberikan hasil yang sempurna. Ia juga tidak dapat mengekspresikan emosinya tersebut secara terbuka, ia lebih banyak memendamnya dan mengontrol perasaannya tersebut. Dalam lingkungan sosial, ia juga cenderung hanya menjadi pengikut saja karena kurang mampu berkomunikasi verbal, mempengaruhi orang lain. Ia lebih menyukai berkomunikasi dengan tulisan. Hal yang paling ditakuti adalah apabila terjadi konflik personal, dimana ia harus berhadapan dan berargumentasi dengan orang lain. Dalam situasi penuh tekanan, ia cenderung menarik diri bahkan menjadi keras kepala."," adalah seorang yang analitis, sistimatis, hati-hati dan memiliki standar kualitas yang tinggi. Dalam menghadapi persoalan, ia akan menganalisisnya secara mendalam, mengumpulkan bukti-bukti pendukung serta mampu menjabarkannya secara rinci. Ia sangat terpengaruh oleh hal-hal detail dan mampu menangkap inti persoalan dengan tepat. Ia seorang pekerja yang sangat taat pada peraturan dan prosedur. Ia akan menjalankan tugas dan tanggung jawabnya berdasarkan uraian tugas yang jelas. Ia mampu mengendalikan diri, penuh perhitungan dan sangat menuntut akurasi dalam bekerja. Ia juga memiliki perencanaan dan persiapan yang matang serta ingin segala sesuatunya berjalan sesuai dengan rencana yang telah ditetapkan. Sebagai seorang yang perfeksionis, ia akan selalu berusaha memberikan kualitas tinggi, akibatnya tempo kerjanya cenderung menjadi lambat dan selalu merasa ada yang kurang pada hasil yang telah dicapainya.

Perasaannya sensitif dan mudah tersinggung. Pada dasarnya ia memiliki empati yang cukup tinggi terhadap orang lain serta menghargai persahabatan. Ia senang berada dalam lingkungan sosial hanya saja kurang menyukai bila menjadi pusat perhatian. Ia lebih menyukai berada bersama beberapa sahabat dekat. Dalam lingkungan sosial, ia juga cenderung hanya menjadi pengikut karena kurang mampu berkomunikasi verbal atau mempengaruhi orang lain. Ia lebih menyukai berkomunikasi dengan tulisan. Dalam situasi tenang, ia akan aktif mencari solusi-solusi baru bila metode sebelumnya tidak dapat lagi digunakan pada situasi saat ini, namun dalam situasi penuh tekanan, ia cenderung menarik diri bahkan bisa menjadi keras kepala.","memiliki kemampuan berpikir yang kritis. Pola pikirnya sistimatis dan selalu mengikuti prosedur-prosedur yang berlaku. Ia menekankan pentingnya membuat kesimpulan berdasarkan pada fakta-fakta yang sudah dikumpulkan. Ia bekerja berdasarkan aturan, teliti dan memberikan perhatian kepada hal-hal detail. Karena Ia sangat menekankan pada sistim dan prosedur standar menyebabkan dirinya kurang menyukai adanya perubahan yang tiba-tiba.

Dalam bekerja, ia mempertahankan posisi dan lingkungan kerjanya dengan regulasi dan peraturan yang ada. Sebagai seorang analitis, ia selalu mengidentifikasi, mengevaluasi, dan menguji data-data yang ada dan senang dengan hal-hal atau argumentasi yang logis atau masuk akal. Ia tidak berani mengambil keputusan tanpa disertai dukungan data-data, sehingga tidak mudah baginya bila dipaksa untuk membuat keputusan dengan cepat. Ia akan bekerja efektif dalam lingkungan yang damai dan tenang.

Ia senang bekerja dengan orang lain, namun lebih menyukai bekerja dengan beberapa teman yang dianggapnya dekat secara emosional. Ia senantiasa memberikan koreksi atas hasil kerja yang dilakukan kelompok karena ketepatan pekerjaan adalah bagian dari orientasi pribadinya. Ia terkadang nampak sensitif dan kurang dapat menangani kritik dengan baik, bagi dirinya kritik adalah ancaman yang paling ditakuti karena seolah-olah menunjukkan rendahnya kinerja yang ditampilkan padahal ia seorang yang perfeksionis. Dalam kondisi seperti ini ia sangat memikirkan tentang apa yang orang pikirkan kepada dirinya, dalam kondisi penuh tekanan ia menjadi seorang yang sangat khawatir.

Ia sering memendam perasaan dirinya sendiri, ia seringkali dianggap pemalu dan tidak nyaman berada bersama dengan orang-orang agresif. Ia baru akan dapat menyatakan perasaannya secara terbuka apabila ia telah merasa dekat, dan mereka bisa memahami perasaannya.
",,,,4
